Field,endive,romaine,sorghum,soybeans,strawberries,wheat
1,303.222,339.4,325.771,287.102,272.297,306.553
2,339.816,387.654,361.198,363.791,325.359,337.671
3,259.024,283.379,273.81,263.401,235.136,292.782
4,348.528,338.111,354.277,333.367,268.081,360.172
5,397.756,377.565,358.406,399.795,301.96,331.612
6,528.064,515.481,463.579,504.981,420.298,500.554
7,238.037,267.515,247.435,240.149,211.472,242.474
8,361.987,377.819,373.539,366.34,325.763,314.367
9,277.321,287.735,296.094,293.458,265.084,261.879
10,286.807,320.143,336.28,299.865,296.348,294.435
11,303.552,332.941,319.151,322.505,243.137,309.913
12,339.787,401.28,348.667,371.967,321.985,365.458
13,296.123,292.686,296.895,260.046,258.265,293.869
14,323.073,362.365,350.46,369.689,319.608,320.993
15,334.959,362.368,369.631,396.691,335.137,324.222
16,515.326,506.112,522.617,538.862,397.784,504.537
17,246.409,270.069,250.383,246.996,212.873,237.605
18,363.579,324.715,384.176,348.208,268.317,308.228
19,259.273,307.519,293.311,310.707,243.325,285.538
20,299.447,339.543,336.659,342.849,269.296,320.269
